Year,Month,Day,Adj Close,Close,High,Low,Open,QPL1,QPL2,QPL3,QPL-1,QPL-2,QPL-3
2004,1,1,0.120964326,0.120964326,0.120967254,0.120964326,0.120967254,0.121196295,0.121398197,0.121624837,0.120732801,0.120532005,0.120307402
2004,1,2,0.120964326,0.120964326,0.120967254,0.120964326,0.120967254,0.121196295,0.121398197,0.121624837,0.120732801,0.120532005,0.120307402
2004,1,5,0.120962858,0.120962858,0.120964326,0.120962858,0.120964326,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,1,6,0.120961398,0.120961398,0.120962858,0.120961398,0.120962858,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,7,0.120959915,0.120959915,0.120961398,0.120959915,0.120961398,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,1,8,0.120959915,0.120959915,0.121106423,0.120959915,0.120959915,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,1,9,0.120962858,0.120962858,0.121109359,0.120959915,0.120959915,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,1,12,0.120962858,0.120962858,0.120962858,0.120962858,0.120962858,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,1,13,0.120965794,0.120965794,0.120965794,0.120962858,0.120962858,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,1,14,0.120965794,0.120965794,0.121112302,0.120965794,0.120965794,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,1,15,0.120967254,0.120967254,0.120967254,0.120965794,0.120965794,0.121199229,0.121401136,0.121627781,0.120735723,0.120534923,0.120310314
2004,1,16,0.120967254,0.120967254,0.120967254,0.120967254,0.120967254,0.121199229,0.121401136,0.121627781,0.120735723,0.120534923,0.120310314
2004,1,19,0.120965794,0.120965794,0.120968722,0.120965794,0.120968722,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,1,20,0.120962858,0.120962858,0.120965794,0.120962858,0.120965794,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,1,21,0.120961398,0.120961398,0.120962858,0.120961398,0.120962858,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,22,0.120961398,0.120961398,0.120961398,0.120961398,0.120961398,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,23,0.120961398,0.120961398,0.120961398,0.120961398,0.120961398,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,26,0.120961398,0.120961398,0.120961398,0.120961398,0.120961398,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,27,0.120961398,0.120961398,0.120961398,0.120961398,0.120961398,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,28,0.120961398,0.120961398,0.120961398,0.120961398,0.120961398,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,1,29,0.120962858,0.120962858,0.120962858,0.120961398,0.120961398,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,1,30,0.120965794,0.120965794,0.121112302,0.120962858,0.120962858,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,2,2,0.120962858,0.120962858,0.120965794,0.120962858,0.120965794,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,2,3,0.120959915,0.120959915,0.120959915,0.120959915,0.120959915,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,4,0.120959915,0.120959915,0.120959915,0.120959915,0.120959915,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,5,0.120958477,0.120958477,0.120959915,0.120958477,0.120959915,0.121190435,0.121392328,0.121618956,0.120726963,0.120526177,0.120301585
2004,2,6,0.120958477,0.120958477,0.121104956,0.120958477,0.120958477,0.121190435,0.121392328,0.121618956,0.120726963,0.120526177,0.120301585
2004,2,9,0.120958477,0.120958477,0.120958477,0.120958477,0.120958477,0.121190435,0.121392328,0.121618956,0.120726963,0.120526177,0.120301585
2004,2,10,0.120959915,0.120959915,0.120959915,0.120958477,0.120958477,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,11,0.120961398,0.120961398,0.120961398,0.120959915,0.120959915,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,2,12,0.120959915,0.120959915,0.120961398,0.120959915,0.120961398,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,13,0.120962858,0.120962858,0.120962858,0.120959915,0.120959915,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,2,16,0.120959915,0.120959915,0.120962858,0.120959915,0.120962858,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,17,0.120962858,0.120962858,0.120962858,0.120959915,0.120959915,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,2,18,0.120962858,0.120962858,0.120962858,0.120962858,0.120962858,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,2,19,0.120961398,0.120961398,0.120962858,0.120961398,0.120962858,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,2,20,0.120959915,0.120959915,0.120961398,0.120959915,0.120961398,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,23,0.120959915,0.120959915,0.120959915,0.120959915,0.120959915,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,2,24,0.120961398,0.120961398,0.120961398,0.120959915,0.120959915,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,2,25,0.120962858,0.120962858,0.120962858,0.120961398,0.120961398,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,2,26,0.120962858,0.120962858,0.120962858,0.120962858,0.120962858,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,2,27,0.120964326,0.120964326,0.120964326,0.120962858,0.120962858,0.121196295,0.121398197,0.121624837,0.120732801,0.120532005,0.120307402
2004,3,1,0.120965794,0.120965794,0.120965794,0.120964326,0.120964326,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,3,2,0.120965794,0.120965794,0.121112302,0.120965794,0.120965794,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,3,3,0.120965794,0.120965794,0.120965794,0.120965794,0.120965794,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
2004,3,4,0.120962858,0.120962858,0.120965794,0.120962858,0.120965794,0.121194825,0.121396724,0.121623361,0.120731336,0.120530543,0.120305942
2004,3,5,0.120958477,0.120958477,0.121104956,0.120958477,0.120962858,0.121190435,0.121392328,0.121618956,0.120726963,0.120526177,0.120301585
2004,3,8,0.120967254,0.120967254,0.120967254,0.120958477,0.120959915,0.121199229,0.121401136,0.121627781,0.120735723,0.120534923,0.120310314
2004,3,9,0.120967254,0.120967254,0.120967254,0.120967254,0.120967254,0.121199229,0.121401136,0.121627781,0.120735723,0.120534923,0.120310314
2004,3,10,0.120967254,0.120967254,0.12111377,0.120967254,0.120967254,0.121199229,0.121401136,0.121627781,0.120735723,0.120534923,0.120310314
2004,3,11,0.120959915,0.120959915,0.120967254,0.120959915,0.120967254,0.121191876,0.121393771,0.121620402,0.120728398,0.12052761,0.120303015
2004,3,12,0.120961398,0.120961398,0.120961398,0.120959915,0.120959915,0.121193362,0.121395259,0.121621893,0.120729878,0.120529088,0.12030449
2004,3,15,0.120958477,0.120958477,0.120961398,0.120958477,0.120961398,0.121190435,0.121392328,0.121618956,0.120726963,0.120526177,0.120301585
2004,3,16,0.120958477,0.120958477,0.120958477,0.120958477,0.120958477,0.121190435,0.121392328,0.121618956,0.120726963,0.120526177,0.120301585
2004,3,17,0.120957017,0.120957017,0.120958477,0.120957017,0.120958477,0.121188972,0.121390862,0.121617488,0.120725506,0.120524722,0.120300133
2004,3,18,0.120965794,0.120965794,0.120965794,0.120965794,0.120965794,0.121197766,0.12139967,0.121626313,0.120734266,0.120533468,0.120308862
