Year,Month,Day,Adj Close,Close,High,Low,Open,QPL1,QPL2,QPL3,QPL-1,QPL-2,QPL-3
2004,1,1,0.657591879,0.657591879,0.657591879,0.655093372,0.655093372,0.661285395,0.664497807,0.668103203,0.653918993,0.650757723,0.647245932
2004,1,2,0.657591879,0.657591879,0.657591879,0.655093372,0.655093372,0.661285395,0.664497807,0.668103203,0.653918993,0.650757723,0.647245932
2004,1,5,0.671095908,0.671095908,0.669882119,0.667601287,0.66840452,0.674865272,0.678143652,0.681823087,0.667347597,0.664121408,0.6605375
2004,1,6,0.670690775,0.670690775,0.674900472,0.67118597,0.67118597,0.674457864,0.677734265,0.681411478,0.666944727,0.663720486,0.660138741
2004,1,7,0.672404528,0.672404528,0.67340064,0.669299245,0.670690775,0.676181242,0.679466015,0.683152625,0.668648907,0.665416428,0.661825531
2004,1,8,0.677690446,0.677690446,0.674217939,0.67118597,0.671501458,0.681496851,0.684807446,0.688523037,0.673905302,0.670647412,0.667028286
2004,1,9,0.680503607,0.680503607,0.68110615,0.679717243,0.680318356,0.684325812,0.687650149,0.691381164,0.67670275,0.673431336,0.669797187
2004,1,12,0.683480322,0.683480322,0.683807433,0.68110615,0.683013439,0.687319247,0.690658126,0.694405461,0.67966284,0.676377115,0.67272707
2004,1,13,0.684978426,0.684978426,0.68657738,0.68418175,0.684978426,0.688825764,0.692171962,0.695927511,0.681152575,0.677859649,0.674201603
2004,1,14,0.683386862,0.683386862,0.683807433,0.68110615,0.681709707,0.687225262,0.690563684,0.694310507,0.679569902,0.676284627,0.67263508
2004,1,15,0.673899889,0.673899889,0.678196013,0.676818967,0.678196013,0.677685003,0.68097708,0.684671889,0.670135917,0.666896249,0.663297366
2004,1,16,0.669612944,0.669612944,0.671817243,0.669612944,0.671817243,0.673373979,0.676645115,0.680316419,0.665872916,0.662653857,0.659077868
2004,1,19,0.653893948,0.653893948,0.658587992,0.658284545,0.658284545,0.657566693,0.66076104,0.664346161,0.650241716,0.647098223,0.64360618
2004,1,20,0.668091953,0.668091953,0.666977942,0.656598806,0.657981336,0.671844445,0.67510815,0.678771115,0.66436042,0.661148673,0.657580807
2004,1,21,0.672585428,0.672585428,0.673219323,0.66938889,0.66938889,0.676363158,0.679648815,0.683336416,0.668828797,0.665595448,0.662003585
2004,1,22,0.677093923,0.677093923,0.677782297,0.672902226,0.672902226,0.680896977,0.684204658,0.687916978,0.673312111,0.670057088,0.666441148
2004,1,23,0.676178277,0.676178277,0.678104043,0.676178277,0.677093923,0.679976187,0.683279395,0.686986695,0.672401579,0.669150958,0.665539908
2004,1,26,0.675812662,0.675812662,0.676178277,0.672811687,0.672992766,0.679608519,0.682909941,0.686615236,0.672038006,0.668789142,0.665180045
2004,1,27,0.678978801,0.678978801,0.673899889,0.67010653,0.670690775,0.682792441,0.68610933,0.689831985,0.675186461,0.671922377,0.668296371
2004,1,28,0.676681519,0.676681519,0.677598596,0.675812662,0.677598596,0.680482256,0.683787922,0.687497981,0.67290201,0.66964897,0.666035232
2004,1,29,0.669792354,0.669792354,0.67640692,0.670600891,0.67640692,0.673554397,0.676826409,0.680498697,0.666051324,0.662831402,0.659254455
2004,1,30,0.670600891,0.670600891,0.671005785,0.66471684,0.668002665,0.674367475,0.677643437,0.681320158,0.666855345,0.663631536,0.660050272
2004,2,2,0.672494948,0.672494948,0.67640692,0.672314107,0.672314107,0.67627217,0.679557385,0.68324449,0.668738823,0.665505909,0.661914529
2004,2,3,0.679994583,0.679994583,0.682920158,0.678380013,0.682593822,0.683813929,0.68713578,0.690864004,0.67619657,0.672927602,0.669296172
2004,2,4,0.682920158,0.682920158,0.682920158,0.678380013,0.679994583,0.686755936,0.690092079,0.693836343,0.679105804,0.675822773,0.672175718
2004,2,5,0.690416992,0.690416992,0.68250072,0.680781543,0.680781543,0.694294877,0.697667643,0.70145301,0.686560765,0.683241694,0.679554604
2004,2,6,0.691515088,0.691515088,0.691515088,0.685918093,0.687190771,0.695399142,0.698777272,0.702568659,0.687652728,0.684328378,0.680635424
2004,2,9,0.696378827,0.696378827,0.696378827,0.693721831,0.695991099,0.700290199,0.703692089,0.707510143,0.692489302,0.68914157,0.685422641
2004,2,10,0.698812008,0.698812008,0.70037818,0.698324025,0.6989097,0.702737046,0.706150823,0.709982217,0.694908892,0.691549463,0.687817541
2004,2,11,0.696912646,0.696912646,0.696912646,0.693385124,0.695991099,0.700827016,0.704231514,0.708052495,0.693020139,0.689669841,0.685948062
2004,2,12,0.6989097,0.6989097,0.699888051,0.697398722,0.699398518,0.702835287,0.706249541,0.710081471,0.695006039,0.69164614,0.687913696
2004,2,13,0.704920352,0.704920352,0.705019712,0.703284323,0.70417577,0.708879699,0.712323315,0.7161882,0.700983119,0.697594325,0.693829781
2004,2,16,0.708014727,0.708014727,0.705616713,0.703383267,0.703383267,0.711991454,0.715450187,0.719332037,0.704060211,0.700656541,0.696875472
2004,2,17,0.707914472,0.707914472,0.707914472,0.706813633,0.706813633,0.711890636,0.715348879,0.71923018,0.703960516,0.700557328,0.696776794
2004,2,18,0.705517113,0.705517113,0.709018707,0.70591557,0.709018707,0.709479812,0.712926344,0.716794501,0.701576547,0.698184884,0.694417154
2004,2,19,0.703383267,0.703383267,0.702592552,0.699594259,0.701705158,0.707333981,0.710770088,0.714626546,0.699454619,0.696073215,0.69231688
2004,2,20,0.687899888,0.687899888,0.697982788,0.687899888,0.695410311,0.691763635,0.695124105,0.698895671,0.68405772,0.680750749,0.677077101
2004,2,23,0.682780325,0.682780325,0.686813176,0.682780325,0.683293462,0.686615318,0.689950778,0.693694275,0.678966753,0.675684393,0.672038086
2004,2,24,0.688705206,0.688705206,0.68799448,0.680596173,0.680596173,0.692573477,0.695937881,0.699713862,0.684858541,0.681547698,0.67786975
2004,2,25,0.691802144,0.691802144,0.694782197,0.690416992,0.691993654,0.69568781,0.699067342,0.702860304,0.687938181,0.684612451,0.680917963
2004,2,26,0.685918093,0.685918093,0.691515088,0.685777009,0.690798581,0.689770709,0.693121498,0.696882198,0.682086994,0.678789551,0.675126486
2004,2,27,0.683620453,0.683620453,0.683994532,0.682593822,0.683620453,0.687460164,0.690799728,0.694547832,0.679802188,0.67651579,0.672864995
2004,3,1,0.689702749,0.689702749,0.694589138,0.689417422,0.694589138,0.693576623,0.6969459,0.700727351,0.685850512,0.682534875,0.678851599
2004,3,2,0.684415877,0.684415877,0.692089379,0.688800097,0.692089379,0.688260056,0.691603506,0.69535597,0.680593169,0.677302947,0.673647905
2004,3,3,0.66229552,0.66229552,0.672585428,0.665203214,0.671321213,0.666015455,0.669250845,0.672882029,0.658596362,0.655412481,0.65187557
2004,3,4,0.669792354,0.669792354,0.673809052,0.668717444,0.671681881,0.673554397,0.676826409,0.680498697,0.666051324,0.662831402,0.659254455
2004,3,5,0.675721347,0.675721347,0.675721347,0.669478476,0.670196354,0.679516692,0.682817667,0.686522462,0.671947201,0.668698777,0.665090167
2004,3,8,0.675903976,0.675903976,0.676681519,0.673899889,0.674308836,0.679700346,0.683002214,0.68670801,0.67212881,0.668879508,0.665269923
2004,3,9,0.680179596,0.680179596,0.682314396,0.680179596,0.681013346,0.683999981,0.687322736,0.691051974,0.676380549,0.673110692,0.669478274
2004,3,10,0.660589218,0.660589218,0.682314396,0.66840452,0.681013346,0.664299569,0.667526623,0.671148453,0.656899591,0.653723912,0.650196113
2004,3,11,0.645494401,0.645494401,0.659108877,0.644620597,0.659108877,0.649119969,0.652273283,0.655812352,0.641889084,0.638785971,0.635338784
2004,3,12,0.643914998,0.643914998,0.646495998,0.640204847,0.640204847,0.647531694,0.650677292,0.654207702,0.640318502,0.637222981,0.633784229
2004,3,15,0.642714858,0.642714858,0.646287084,0.642013371,0.644911647,0.646324814,0.649464549,0.652988378,0.639125065,0.636035314,0.632602972
2004,3,16,0.652315736,0.652315736,0.652315736,0.648718774,0.648718774,0.655979617,0.659166254,0.662742722,0.648672319,0.645536413,0.642052798
2004,3,17,0.65091455,0.65091455,0.654278994,0.650279641,0.654278994,0.654570561,0.657750353,0.661319139,0.647278959,0.644149789,0.640673657
2004,3,18,0.657678425,0.657678425,0.657808185,0.65091455,0.653680205,0.661372427,0.664585262,0.668191132,0.654005056,0.65084337,0.647331116
2004,3,19,0.656598806,0.656598806,0.657894731,0.655308008,0.656211019,0.660286745,0.663494305,0.667094256,0.652931467,0.649774971,0.646268483
2004,3,22,0.661988616,0.661988616,0.662120104,0.657202959,0.657808185,0.665706827,0.668940717,0.672570219,0.658291172,0.655108766,0.651573494
2004,3,23,0.660414755,0.660414755,0.661113322,0.659413099,0.661113322,0.664124127,0.667350328,0.670971201,0.656726102,0.653551262,0.650024395
2004,3,24,0.655179203,0.655179203,0.657808185,0.652103066,0.657808185,0.658859167,0.662059792,0.66565196,0.651519792,0.648370121,0.644871214
2004,3,25,0.648214161,0.648214161,0.653381228,0.646287084,0.653381228,0.651855005,0.655021605,0.658575586,0.644593653,0.641477465,0.638015754
2004,3,26,0.649814785,0.649814785,0.650195062,0.643914998,0.643914998,0.653464619,0.656639038,0.660201794,0.646185336,0.643061453,0.639591195
2004,3,29,0.651084065,0.651084065,0.650491118,0.648088157,0.648718774,0.654741029,0.657921649,0.661491364,0.647447528,0.644317543,0.640840506
2004,3,30,0.657289326,0.657289326,0.658804953,0.653509319,0.654878855,0.660981143,0.664192076,0.667795813,0.65361813,0.650458314,0.646948139
2004,3,31,0.666711092,0.666711092,0.667601287,0.661813378,0.661813378,0.670455828,0.673712788,0.677368182,0.662987272,0.659782163,0.656221671
2004,4,1,0.667512178,0.667512178,0.667512178,0.663305938,0.66440767,0.671261414,0.674522287,0.678182073,0.663783884,0.660574924,0.657010154
2004,4,2,0.659413099,0.659413099,0.667111456,0.657418966,0.666977942,0.663116845,0.666338153,0.669953534,0.655730041,0.652560016,0.649038498
2004,4,5,0.650195062,0.650195062,0.655995786,0.650787473,0.655909717,0.653847032,0.657023309,0.66058815,0.64656349,0.643437779,0.639965489
2004,4,6,0.656383336,0.656383336,0.658891737,0.648802936,0.648802936,0.660070063,0.663276571,0.666875341,0.652717199,0.64956174,0.646056402
2004,4,7,0.661988616,0.661988616,0.661988616,0.653680205,0.654493093,0.665706827,0.668940717,0.672570219,0.658291172,0.655108766,0.651573494
2004,4,8,0.658587992,0.658587992,0.66229552,0.656814456,0.66229552,0.662287103,0.665504381,0.669115238,0.654909542,0.651743484,0.648226373
2004,4,9,0.658587992,0.658587992,0.66229552,0.656814456,0.66229552,0.662287103,0.665504381,0.669115238,0.654909542,0.651743484,0.648226373
