Year,Month,Day,AUDCAD,USDCHF,EURUSD,AUDUSD,GBPUSD,EURAUD,NZDCHF,EURCAD,NZDUSD
2014,3,21,-0.00170484999999998,0.00068012999999989,-2.899000000000651e-05,-0.001308929999999986,0.00026679999999990045,0.0023162000000001015,0.0,-0.0004648999999999903,-0.0008197599999999472
2014,3,23,-0.0012037000000000297,0.0016463600000000689,-0.0028477300000000483,-0.0037149499999999946,-0.00023035999999998502,0.0,0.0,-0.00029692999999997305,-0.00042140999999995543
2014,3,24,-0.0009874300000000114,-0.0026159599999999728,0.0011867500000000142,-0.003842589999999979,-0.00215348999999998,0.004600689999999963,-0.005773240000000013,0.004011669999999912,-0.003232050000000042
2014,3,25,-0.0004788199999999909,-0.002079379999999964,0.00248822999999998,-0.006442590000000026,-0.0027147199999999483,0.009881440000000019,-0.005596429999999986,0.008490139999999924,-0.0035461399999999754
2014,3,26,0.0010662599999999856,-0.0017598500000000072,0.003289740000000041,-0.005157700000000043,-0.0017825000000000202,0.006556690000000032,-0.009202489999999952,0.009554410000000013,-0.007363209999999953
2014,3,27,-0.00041069000000004685,-0.00030450000000004085,-0.0008508200000000299,0.0021518599999998944,-0.002007300000000045,-0.0020712000000000508,3.905000000004044e-05,-0.0034390699999999885,0.0013636999999999677
2014,3,28,-0.0003030299999999819,-0.00014658999999994649,-7.270999999997585e-05,-0.0010154300000000394,-0.0003724699999999581,0.0005517299999999725,-0.0002472599999999714,0.0006777499999999215,-0.0020068500000000045
2014,3,30,-0.0012496699999999805,0.002895010000000031,-0.0014956799999999992,-0.001046740000000046,-0.0010622200000000026,0.0,0.0014857500000000634,-0.0016554399999999525,-5.765999999995941e-05
2014,3,31,0.005457880000000026,0.001166149999999977,-0.0014282899999999987,0.0033238799999999458,0.0020807499999999646,-0.0036268600000000095,0.008225689999999952,0.0006639299999999793,0.006523810000000019
2014,4,1,-0.0011080199999999873,-0.0036998200000000203,0.001961399999999891,-0.000973479999999971,0.0002285699999999835,0.0020017900000000033,0.0016056600000000643,0.0018439999999999568,0.004969669999999926
2014,4,2,0.0011387300000000877,-0.004782269999999977,0.003191979999999983,0.001484049999999959,0.0017172500000000035,0.0016821799999999776,-0.0017211499999999491,0.0028001600000000515,0.0022448799999998936
2014,4,3,-0.0011961999999999806,-0.0013788900000000215,0.0015108200000000238,-0.006318489999999954,0.0018532399999999782,0.007593369999999933,-0.007601540000000018,0.006594519999999937,-0.004400159999999986
2014,4,4,0.00010786999999989888,0.0005047300000000643,-0.0001240599999999814,0.00029071000000002734,-0.000735920000000001,-0.004965160000000024,0.000352169999999985,-0.00019274999999996378,-0.0022184299999999935
2014,4,6,0.002782800000000085,0.0044048400000000765,-0.002794500000000033,0.0024609499999999063,-0.0017582900000000512,0.0,0.0037574799999999797,-0.0024796000000000262,0.00037181000000008346
2014,4,7,-0.0045906100000000505,0.004424329999999976,-0.0036832700000000163,-0.008815569999999995,-0.008306409999999986,0.005692229999999965,-0.0023250000000000215,0.0005572300000000752,-0.006728370000000039
2014,4,8,0.0014605599999999441,0.004329840000000029,-0.004302719999999982,-0.003018540000000014,-0.003095590000000037,-0.0010234199999999971,-0.0012523599999999524,0.00017913999999996655,-0.005976899999999952
2014,4,9,-0.006843909999999953,0.0044747800000000115,-0.0024629299999999743,-0.0021393199999999446,0.0013472000000001039,0.00018303000000008396,0.008684780000000059,-0.007186570000000003,0.005687849999999939
2014,4,10,-0.004294220000000015,0.00011417000000002453,0.0001584599999999714,-8.514000000003907e-05,0.0027496300000000584,-0.0016715699999999556,-0.00039460999999996194,-0.004047809999999985,-0.002462879999999945
2014,4,11,0.0017965200000000792,-0.0011403500000000122,0.0027010800000000224,0.0014174600000000925,0.00012553999999997956,0.007589400000000079,-0.0019429499999999988,0.003079760000000098,0.0007832100000000342
2014,4,13,-0.002305870000000043,-0.0038735500000000034,0.002294669999999943,-0.0028904800000000286,0.00010762000000008598,0.0,-0.003414710000000043,0.002864189999999933,-5.7590000000051766e-05
2014,4,14,0.0056315000000000115,-5.679000000002876e-05,0.000318610000000108,0.00733271000000002,0.00016744000000001869,-0.006200569999999961,0.0072213599999999545,-0.0013444900000000315,0.01007434000000007
2014,4,15,-0.005310849999999978,-0.00112325000000002,-0.0009332199999999569,-0.003158580000000022,-0.004684110000000019,0.0009224699999998975,-0.0019333700000000453,-0.0030487399999999942,-0.0037896299999999883
2014,4,16,0.004859469999999977,-0.0018233699999999908,0.0009413400000000127,0.004577320000000107,0.0011798599999999215,-0.004322249999999972,0.004571459999999972,0.0011314200000001051,0.006473589999999918
2014,4,17,-0.0008659699999999937,-0.0004641199999999568,-0.0002099500000000143,0.00033242000000011096,-0.0010536100000000381,0.0004932499999998896,6.606999999991814e-05,-0.0013073099999999505,0.0006536200000000214
2014,4,18,-0.000641769999999986,0.00016982999999992643,-3.6200000000041754e-05,-0.000621560000000021,0.0010010400000000086,0.0008927000000000795,-0.0028984699999999863,-0.000124800000000036,-0.0024218400000000084
2014,4,20,-0.00028190999999999633,-0.0022141900000000048,0.0016532899999999184,-0.0003963599999999845,-0.00037525000000004916,0.0,0.0005009000000000263,0.0017898499999999817,0.0017729500000001064
2014,4,21,-0.0044035799999999625,0.0005764699999999401,-0.0011299200000000065,-0.0036396199999999546,-0.0018964599999999887,0.003283979999999964,-0.004095779999999993,-0.0018456599999999712,-0.004354999999999998
2014,4,22,0.008530909999999947,0.0015282899999999877,-0.0007237799999999517,0.008851179999999959,0.002335889999999896,-0.008923470000000044,0.0018017100000000674,-0.0010956899999999825,-8.129000000001163e-05
