,SGD=X,JPY=X,INR=X,MYR=X,GBPUSD=X,ZAR=X,NZDUSD=X,AUDUSD=X,CNY=X,PHP=X,MXN=X,IDR=X,EURUSD=X,THB=X,HKD=X
2021-01-04 03:00:00+00:00,-0.0004931438353673601,-0.0003787285256592332,-0.002586283126019051,-0.0005005238824591363,0.00020537953336785542,-0.0009060801548409492,0.0005045315170859599,0.0002778060184711606,-0.002282200680277846,2.0812783688262115e-05,-0.0003065685441788757,-0.01280233554882293,-0.00012261839773830552,-0.0010030990269002116,4.127224811001362e-05
2021-01-04 04:00:00+00:00,0.00015936441020780734,0.0004759616749314688,0.0003841388141603286,0.0009514656415186007,-0.0010124115510840026,0.0015083457771316588,-0.0017267645108669516,-0.0018410735966042369,-0.00023185213523213566,6.251648802857446e-05,0.000612361373007797,-0.0008808413797986026,-0.0004900474847162606,0.0006024382117806315,-2.1896145964706015e-05
2021-01-04 05:00:00+00:00,-0.00013662800456071267,0.00014563928497479672,0.00030175229777462675,-0.00020014326106720937,0.00013679795203880296,0.00033715448269688864,0.0010804629713005998,0.0006088652450990661,-0.0011130156487832998,-0.0011036210749526543,-6.058224449023708e-05,0.00016051827893970305,0.0006129813095188119,-0.00013378746639214345,2.58330974034493e-06
2021-01-04 06:00:00+00:00,-0.00012144360062371629,-0.00013591514332444987,0.0009870934162532485,0.0,0.00023269895063315893,-0.001837130177707591,0.0006485876379427324,0.0009645132880979901,0.0007119164196691674,0.0008963409378117682,0.0007069962090939796,0.0,0.00024523679547661104,-0.0004014799116155432,-1.0333212266622205e-05
2021-01-04 07:00:00+00:00,-8.353655584103503e-05,-0.0007767106227346554,-0.00013009636849314887,0.0010007376839087367,0.00015059636246639307,-0.004435191623860302,0.0005769664284429599,0.0011663745451309104,-4.6458823655171066e-05,-0.0007289357046135203,-5.04365504826465e-05,0.0010814759029886822,0.0004907421989683858,-0.0005019876194686246,-2.1958302966362808e-05
2021-01-04 08:00:00+00:00,-0.0004631552193620214,-0.0010494670707464904,-0.00014390844037115436,0.000999796798957897,0.00028756177744870826,0.000783643420262603,0.0021682651440737555,0.0017100220518073694,-0.0009743531690998841,-0.00010423235020751154,-0.0015241462244749426,0.0014404101018361537,0.001474322324774846,-0.001071474577530096,-3.610590162339555e-05
2021-01-04 09:00:00+00:00,0.00017477111096919629,-0.000573894799806629,0.0006165853838011603,-0.0002496697858126451,-0.0017222627931687828,-0.002446058438557386,-0.0007222634109008697,-0.0004949296479651588,4.643247621727298e-05,0.0,-0.0015369809098354503,0.0,0.0011070489132243289,0.0013743292984040867,-1.2917398831691074e-06
2021-01-04 10:00:00+00:00,-0.0005013153075908994,0.0005547691808232003,-0.0003696814805977944,0.00012480652309387885,0.00161552100203477,0.005009600732435837,0.0010845908215655342,0.00015467948207104065,0.00035608881610960097,0.0011047713495435652,0.0007638319627616408,0.0,-0.0003688666828001175,-3.35193818642443e-05,-5.166966207226231e-06
2021-01-04 11:00:00+00:00,0.0006155221366943575,0.0005933503350408209,0.0,-0.0001247909483694798,-0.0014901442725050451,-0.0010368704731333889,-0.0020203370872290405,-0.0013363411669289338,6.19096538181374e-05,-0.0003748137845056565,-0.0009347894398605838,-0.00015959682694532962,0.00012293629660220518,0.0001339543246401398,8.261037465739918e-05
2021-01-04 12:00:00+00:00,0.0002733971121118284,0.00046668498200008734,-0.00015068602372503292,0.0,-0.0010923743948209053,0.0006926191090468325,-0.0010091984344166027,-0.0010803338270878315,-0.00032495022262857276,0.000249969548369533,0.00030380836239762843,0.0,0.000984823595981732,3.345217580541515e-05,-1.0333132185902372e-05
